Timestamp(ms),Current(uA),D0-D7
21738.1,12784.509,00000000
21738.2,12750.757,00000000
21738.3,12753.248,00000000
21738.4,12775.582,00000000
21738.5,12740.647,00000000
21738.6,12745.328,00000000
21738.7,12729.989,00000000
21738.8,12784.426,00000000
21738.9,12757.784,00000000
21739,12743.577,00000000
21739.1,12788.163,00000000
21739.2,12763.377,00000000
21739.3,12788.599,00000000
21739.4,12754.376,00000000
21739.5,12783.032,00000000
21739.6,12750.915,00000000
21739.7,12753.917,00000000
21739.8,12838.469,00000000
21739.9,12790.469,00000000
21740,12754.919,00000000
21740.1,12777.418,00000000
21740.2,12759.044,00000000
21740.3,12749.466,00000000
21740.4,12753.418,00000000
21740.5,12775.316,00000000
21740.6,12773.127,00000000
21740.7,12741.273,00000000
21740.8,12793.584,00000000
21740.9,12767.145,00000000
21741,12790.541,00000000
21741.1,12777.340,00000000
21741.2,12766.714,00000000
21741.3,12753.769,00000000
21741.4,12781.361,00000000
21741.5,12762.288,00000000
21741.6,12789.088,00000000
21741.7,12777.873,00000000
21741.8,12754.989,00000000
21741.9,12768.875,00000000
21742,12798.623,00000000
21742.1,12763.007,00000000
21742.2,12785.785,00000000
21742.3,12803.200,00000000
21742.4,12748.288,00000000
21742.5,12796.247,00000000
21742.6,12772.216,00000000
21742.7,12793.580,00000000
21742.8,12807.514,00000000
21742.9,12797.555,00000000
21743,12763.590,00000000
21743.1,12744.490,00000000
21743.2,12740.078,00000000
21743.3,12754.920,00000000
21743.4,12741.945,00000000
21743.5,12763.340,00000000
21743.6,12780.564,00000000
21743.7,12775.684,00000000
21743.8,12820.479,00000000
21743.9,12801.241,00000000
21744,12755.782,00000000
21744.1,12785.326,00000000
21744.2,12767.583,00000000
21744.3,12798.364,00000000
21744.4,12756.325,00000000
21744.5,12794.372,00000000
21744.6,12767.443,00000000
21744.7,12734.010,00000000
21744.8,12784.246,00000000
21744.9,12758.695,00000000
21745,12770.417,00000000
21745.1,12788.942,00000000
21745.2,12808.144,00000000
21745.3,12783.923,00000000
21745.4,12748.379,00000000
21745.5,12765.692,00000000
21745.6,12755.750,00000000
21745.7,12740.971,00000000
21745.8,12773.566,00000000
21745.9,12766.880,00000000
21746,12770.276,00000000
21746.1,12771.331,00000000
21746.2,12760.325,00000000
21746.3,12770.639,00000000
21746.4,12789.241,00000000
21746.5,12773.014,00000000
21746.6,12778.969,00000000
21746.7,12771.009,00000000
21746.8,12775.039,00000000
21746.9,12737.814,00000000
21747,12741.037,00000000
21747.1,12750.442,00000000
21747.2,12775.513,00000000
21747.3,12754.480,00000000
21747.4,12816.045,00000000
21747.5,12740.872,00000000
21747.6,12764.161,00000000
21747.7,12779.933,00000000
21747.8,12776.446,00000000
21747.9,12788.029,00000000
21748,12751.030,00000000
21748.1,12789.482,00000000
21748.2,12791.926,00000000
21748.3,12746.829,00000000
21748.4,12742.834,00000000
21748.5,12768.963,00000000
21748.6,12763.546,00000000
21748.7,12760.653,00000000
21748.8,12769.771,00000000
21748.9,12762.713,00000000
21749,12759.574,00000000
21749.1,12760.353,00000000
21749.2,12750.331,00000000
21749.3,12770.603,00000000
21749.4,12815.468,00000000
21749.5,12809.540,00000000
21749.6,12748.084,00000000
21749.7,12767.131,00000000
21749.8,12773.925,00000000
21749.9,12766.123,00000000
21750,12737.608,00000000
21750.1,12764.548,00000000
21750.2,12792.300,00000000
21750.3,12799.170,00000000
21750.4,12794.100,00000000
21750.5,12762.129,00000000
21750.6,12786.153,00000000
21750.7,12766.744,00000000
21750.8,12737.739,00000000
21750.9,12776.810,00000000
21751,12725.971,00000000
21751.1,12890.668,00000000
21751.2,12808.392,00000000
21751.3,12774.164,00000000
21751.4,12753.683,00000000
21751.5,12759.620,00000000
21751.6,12772.023,00000000
21751.7,12757.584,00000000
21751.8,12756.678,00000000
21751.9,12801.143,00000000
21752,12775.702,00000000
21752.1,12740.647,00000000
21752.2,12781.672,00000000
21752.3,12749.071,00000000
21752.4,12754.622,00000000
21752.5,12746.915,00000000
21752.6,12759.037,00000000
21752.7,12747.141,00000000
21752.8,12757.360,00000000
21752.9,12724.139,00000000
21753,12753.053,00000000
21753.1,12756.656,00000000
21753.2,12722.031,00000000
21753.3,12744.653,00000000
21753.4,12764.888,00000000
21753.5,12771.294,00000000
21753.6,12818.220,00000000
21753.7,12785.292,00000000
21753.8,12755.716,00000000
21753.9,12750.638,00000000
21754,12775.567,00000000
21754.1,12728.183,00000000
21754.2,12712.534,00000000
21754.3,12758.528,00000000
21754.4,12789.092,00000000
21754.5,12776.665,00000000
21754.6,12750.007,00000000
21754.7,12777.461,00000000
21754.8,12788.676,00000000
21754.9,12753.970,00000000
21755,12742.260,00000000
21755.1,12757.282,00000000
21755.2,12757.049,00000000
21755.3,12752.165,00000000
21755.4,12778.529,00000000
21755.5,12760.231,00000000
21755.6,12788.289,00000000
21755.7,12780.227,00000000
21755.8,12791.845,00000000
21755.9,12802.193,00000000
21756,12776.553,00000000
21756.1,12777.134,00000000
21756.2,12704.632,00000000
21756.3,12753.854,00000000
21756.4,12745.917,00000000
21756.5,12762.209,00000000
21756.6,12796.854,00000000
21756.7,12786.025,00000000
21756.8,12763.662,00000000
21756.9,12707.179,00000000
21757,12760.400,00000000
21757.1,12776.109,00000000
21757.2,12722.461,00000000
21757.3,12803.346,00000000
21757.4,12804.763,00000000
21757.5,12791.914,00000000
21757.6,12803.243,00000000
21757.7,12755.017,00000000
21757.8,12752.090,00000000
21757.9,12797.435,00000000
21758,12801.025,00000000
21758.1,12759.737,00000000
21758.2,12758.468,00000000
21758.3,12764.021,00000000
21758.4,12747.630,00000000
21758.5,12763.812,00000000
21758.6,12791.004,00000000
21758.7,12758.321,00000000
21758.8,12753.107,00000000
21758.9,12728.731,00000000
21759,12740.299,00000000
21759.1,12720.243,00000000
21759.2,12788.771,00000000
21759.3,12771.056,00000000
21759.4,12780.330,00000000
21759.5,12776.136,00000000
21759.6,12792.969,00000000
21759.7,12814.157,00000000
21759.8,12776.565,00000000
21759.9,12784.773,00000000
21760,12754.945,00000000
21760.1,12790.661,00000000
21760.2,12834.903,00000000
21760.3,12750.901,00000000
21760.4,12741.565,00000000
21760.5,12750.574,00000000
21760.6,12759.998,00000000
21760.7,12779.013,00000000
21760.8,12777.790,00000000
21760.9,12783.743,00000000
21761,12806.487,00000000
21761.1,12817.815,00000000
21761.2,12799.172,00000000
21761.3,12782.176,00000000
21761.4,12766.443,00000000
21761.5,12795.964,00000000
21761.6,12803.937,00000000
21761.7,12763.806,00000000
21761.8,12774.868,00000000
21761.9,12759.378,00000000
21762,12769.264,00000000
21762.1,12801.649,00000000
21762.2,12783.399,00000000
21762.3,12780.032,00000000
21762.4,12777.313,00000000
21762.5,12784.531,00000000
21762.6,12785.208,00000000
21762.7,12742.934,00000000
21762.8,12734.272,00000000
21762.9,12765.863,00000000
21763,12751.705,00000000
21763.1,12761.853,00000000
21763.2,12744.406,00000000
21763.3,12743.941,00000000
21763.4,12762.779,00000000
21763.5,12785.027,00000000
21763.6,12761.271,00000000
21763.7,12790.147,00000000
21763.8,12788.119,00000000
21763.9,12743.950,00000000
21764,12780.395,00000000
21764.1,12740.544,00000000
21764.2,12786.887,00000000
21764.3,12784.988,00000000
21764.4,12813.760,00000000
21764.5,12739.488,00000000
21764.6,12771.521,00000000
21764.7,12709.128,00000000
21764.8,12758.043,00000000
21764.9,12767.448,00000000
21765,12782.844,00000000
21765.1,12762.685,00000000
21765.2,12742.483,00000000
21765.3,12772.293,00000000
21765.4,12760.876,00000000
21765.5,12756.581,00000000
21765.6,12786.768,00000000
21765.7,12765.208,00000000
21765.8,12735.256,00000000
21765.9,12794.015,00000000
21766,12775.087,00000000
21766.1,12752.936,00000000
21766.2,12736.225,00000000
21766.3,12765.739,00000000
21766.4,12803.327,00000000
21766.5,12778.004,00000000
21766.6,12764.080,00000000
21766.7,12800.370,00000000
21766.8,12756.818,00000000
21766.9,12779.291,00000000
21767,12750.495,00000000
21767.1,12759.039,00000000
21767.2,12762.304,00000000
21767.3,12775.510,00000000
21767.4,12757.422,00000000
21767.5,12759.192,00000000
21767.6,12741.526,00000000
21767.7,12721.379,00000000
21767.8,12738.320,00000000
