Timestamp(ms),Current(uA),D0-D7
9676.5,12784.705,00000000
9676.6,12731.701,00000000
9676.7,12771.434,00000000
9676.8,12734.449,00000000
9676.9,12761.524,00000000
9677,12755.364,00000000
9677.1,12724.873,00000000
9677.2,12757.750,00000000
9677.3,12693.862,00000000
9677.4,12727.092,00000000
9677.5,12757.438,00000000
9677.6,12750.486,00000000
9677.7,12722.448,00000000
9677.8,12765.258,00000000
9677.9,12748.898,00000000
9678,12707.226,00000000
9678.1,12741.098,00000000
9678.2,12777.335,00000000
9678.3,12727.582,00000000
9678.4,12772.789,00000000
9678.5,12718.265,00000000
9678.6,12739.243,00000000
9678.7,12739.964,00000000
9678.8,12725.477,00000000
9678.9,12753.327,00000000
9679,12739.950,00000000
9679.1,12757.107,00000000
9679.2,12743.276,00000000
9679.3,12753.263,00000000
9679.4,12691.277,00000000
9679.5,12718.184,00000000
9679.6,12734.671,00000000
9679.7,12728.546,00000000
9679.8,12760.823,00000000
9679.9,12760.559,00000000
9680,12741.169,00000000
9680.1,12761.192,00000000
9680.2,12796.512,00000000
9680.3,12816.865,00000000
9680.4,12748.813,00000000
9680.5,12755.688,00000000
9680.6,12763.691,00000000
9680.7,12786.912,00000000
9680.8,12746.474,00000000
9680.9,12774.536,00000000
9681,12737.460,00000000
9681.1,12751.521,00000000
9681.2,12754.456,00000000
9681.3,12765.620,00000000
9681.4,12787.794,00000000
9681.5,12757.341,00000000
9681.6,12739.085,00000000
9681.7,12735.978,00000000
9681.8,12744.341,00000000
9681.9,12729.100,00000000
9682,12750.397,00000000
9682.1,12757.599,00000000
9682.2,12775.529,00000000
9682.3,12777.707,00000000
9682.4,12760.849,00000000
9682.5,12756.639,00000000
9682.6,12772.886,00000000
9682.7,12752.914,00000000
9682.8,12751.690,00000000
9682.9,12769.617,00000000
9683,12720.500,00000000
9683.1,12719.938,00000000
9683.2,12737.606,00000000
9683.3,12716.305,00000000
9683.4,12702.596,00000000
9683.5,12718.186,00000000
9683.6,12726.605,00000000
9683.7,12748.645,00000000
9683.8,12726.068,00000000
9683.9,12695.332,00000000
9684,12740.113,00000000
9684.1,12702.272,00000000
9684.2,12748.994,00000000
9684.3,12728.433,00000000
9684.4,12751.312,00000000
9684.5,12777.070,00000000
9684.6,12720.819,00000000
9684.7,12733.186,00000000
9684.8,12746.172,00000000
9684.9,12730.966,00000000
9685,12745.608,00000000
9685.1,12733.618,00000000
9685.2,12736.162,00000000
9685.3,12765.828,00000000
9685.4,12778.105,00000000
9685.5,12734.524,00000000
9685.6,12747.528,00000000
9685.7,12742.079,00000000
9685.8,12756.588,00000000
9685.9,12705.388,00000000
9686,12705.911,00000000
9686.1,12738.858,00000000
9686.2,12765.327,00000000
9686.3,12750.601,00000000
9686.4,12727.004,00000000
9686.5,12779.295,00000000
9686.6,12768.352,00000000
9686.7,12733.801,00000000
9686.8,12734.380,00000000
9686.9,12748.582,00000000
9687,12735.286,00000000
9687.1,12760.793,00000000
9687.2,12774.000,00000000
9687.3,12748.523,00000000
9687.4,12753.330,00000000
9687.5,12742.698,00000000
9687.6,12769.742,00000000
9687.7,12742.175,00000000
9687.8,12781.412,00000000
9687.9,12750.952,00000000
9688,12745.960,00000000
