sensor_name,inference_layer,inference_latency,registered_at
ESP32_8F7400,InferenceLayer.SENSOR,3.907,2024-10-24 17:40:43.939429
ESP32_8F7400,InferenceLayer.SENSOR,4.083,2024-10-24 17:41:13.939452
ESP32_8F7400,InferenceLayer.SENSOR,3.963,2024-10-24 17:41:43.939454
ESP32_8F7400,InferenceLayer.SENSOR,3.48,2024-10-24 17:42:13.939456
ESP32_8F7400,InferenceLayer.SENSOR,3.232,2024-10-24 17:42:43.939457
ESP32_8F7400,InferenceLayer.SENSOR,3.999,2024-10-24 17:43:13.939459
ESP32_8F7400,InferenceLayer.SENSOR,1.651,2024-10-24 17:43:43.939460
ESP32_8F7400,InferenceLayer.SENSOR,3.984,2024-10-24 17:44:13.939462
ESP32_8F7400,InferenceLayer.SENSOR,3.959,2024-10-24 17:44:43.939463
ESP32_8F7400,InferenceLayer.SENSOR,4.178,2024-10-24 17:45:13.939465
ESP32_8F7400,InferenceLayer.SENSOR,3.963,2024-10-24 17:45:43.939466
ESP32_8F7400,InferenceLayer.SENSOR,1.651,2024-10-24 17:46:13.939468
ESP32_8F7400,InferenceLayer.SENSOR,3.554,2024-10-24 17:46:43.939469
ESP32_8F7400,InferenceLayer.SENSOR,3.495,2024-10-24 17:47:13.939470
ESP32_8F7400,InferenceLayer.SENSOR,3.95,2024-10-24 17:47:43.939472
ESP32_8F7400,InferenceLayer.SENSOR,3.798,2024-10-24 17:48:13.939473
ESP32_8F7400,InferenceLayer.SENSOR,3.822,2024-10-24 17:48:43.939474
ESP32_8F7400,InferenceLayer.SENSOR,4.12,2024-10-24 17:49:13.939476
ESP32_8F7400,InferenceLayer.SENSOR,3.786,2024-10-24 17:49:43.939477
ESP32_8F7400,InferenceLayer.SENSOR,3.855,2024-10-24 17:50:13.939478
ESP32_8F7400,InferenceLayer.SENSOR,3.495,2024-10-24 17:50:43.939480
ESP32_8F7400,InferenceLayer.SENSOR,4.116,2024-10-24 17:51:13.939481
ESP32_8F7400,InferenceLayer.SENSOR,3.954,2024-10-24 17:51:43.939483
ESP32_8F7400,InferenceLayer.SENSOR,3.905,2024-10-24 17:52:13.939485
ESP32_8F7400,InferenceLayer.SENSOR,3.869,2024-10-24 17:52:43.939486
ESP32_8F7400,InferenceLayer.SENSOR,3.919,2024-10-24 17:53:13.939488
ESP32_8F7400,InferenceLayer.SENSOR,4.021,2024-10-24 17:53:43.939489
ESP32_8F7400,InferenceLayer.SENSOR,0.894,2024-10-24 17:54:13.939491
ESP32_8F7400,InferenceLayer.SENSOR,3.447,2024-10-24 17:54:43.939492
ESP32_8F7400,InferenceLayer.SENSOR,4.083,2024-10-24 17:55:13.939494
ESP32_8F7400,InferenceLayer.SENSOR,4.377,2024-10-24 17:55:43.939495
ESP32_8F7400,InferenceLayer.SENSOR,1.395,2024-10-24 17:56:13.939496
ESP32_8F7400,InferenceLayer.GATEWAY,145.82,2024-10-24 17:56:43.939498
ESP32_8F7400,InferenceLayer.GATEWAY,172.253,2024-10-24 17:57:13.939500
ESP32_8F7400,InferenceLayer.GATEWAY,177.195,2024-10-24 17:57:43.939501
ESP32_8F7400,InferenceLayer.GATEWAY,138.224,2024-10-24 17:58:13.939502
ESP32_8F7400,InferenceLayer.GATEWAY,139.566,2024-10-24 17:58:43.939504
ESP32_8F7400,InferenceLayer.GATEWAY,136.513,2024-10-24 17:59:13.939506
ESP32_8F7400,InferenceLayer.GATEWAY,139.903,2024-10-24 17:59:43.939507
ESP32_8F7400,InferenceLayer.GATEWAY,159.723,2024-10-24 18:00:13.939508
ESP32_8F7400,InferenceLayer.GATEWAY,139.151,2024-10-24 18:00:43.939510
ESP32_8F7400,InferenceLayer.GATEWAY,139.151,2024-10-24 18:01:13.939512
ESP32_8F7400,InferenceLayer.GATEWAY,143.173,2024-10-24 18:01:43.939513
ESP32_8F7400,InferenceLayer.GATEWAY,138.134,2024-10-24 18:02:13.939515
ESP32_8F7400,InferenceLayer.GATEWAY,137.965,2024-10-24 18:02:43.939516
ESP32_8F7400,InferenceLayer.GATEWAY,163.133,2024-10-24 18:03:13.939517
ESP32_8F7400,InferenceLayer.GATEWAY,142.327,2024-10-24 18:03:43.939519
ESP32_8F7400,InferenceLayer.GATEWAY,144.392,2024-10-24 18:04:13.939520
ESP32_8F7400,InferenceLayer.SENSOR,3.937,2024-10-24 18:04:43.939522
ESP32_8F7400,InferenceLayer.SENSOR,3.495,2024-10-24 18:05:13.939523
ESP32_8F7400,InferenceLayer.SENSOR,3.95,2024-10-24 18:05:43.939524
ESP32_8F7400,InferenceLayer.SENSOR,4.272,2024-10-24 18:06:13.939526
ESP32_8F7400,InferenceLayer.SENSOR,4.029,2024-10-24 18:06:43.939527
ESP32_8F7400,InferenceLayer.SENSOR,4.366,2024-10-24 18:07:13.939529
ESP32_8F7400,InferenceLayer.SENSOR,4.12,2024-10-24 18:07:43.939531
ESP32_8F7400,InferenceLayer.SENSOR,1.165,2024-10-24 18:08:13.939532
ESP32_8F7400,InferenceLayer.SENSOR,3.907,2024-10-24 18:08:43.939546
ESP32_8F7400,InferenceLayer.SENSOR,3.928,2024-10-24 18:09:13.939547
ESP32_8F7400,InferenceLayer.SENSOR,3.925,2024-10-24 18:09:43.939549
ESP32_8F7400,InferenceLayer.SENSOR,3.855,2024-10-24 18:10:13.939550
ESP32_8F7400,InferenceLayer.SENSOR,2.577,2024-10-24 18:10:43.939552
ESP32_8F7400,InferenceLayer.SENSOR,1.751,2024-10-24 18:11:13.939553
ESP32_8F7400,InferenceLayer.SENSOR,3.786,2024-10-24 18:11:43.939554
ESP32_8F7400,InferenceLayer.SENSOR,3.869,2024-10-24 18:12:13.939556
ESP32_8F7400,InferenceLayer.SENSOR,3.925,2024-10-24 18:12:43.939557
ESP32_8F7400,InferenceLayer.SENSOR,4.021,2024-10-24 18:13:13.939559
ESP32_8F7400,InferenceLayer.SENSOR,1.202,2024-10-24 18:13:43.939560
ESP32_8F7400,InferenceLayer.SENSOR,4.095,2024-10-24 18:14:13.939562
ESP32_8F7400,InferenceLayer.SENSOR,4.029,2024-10-24 18:14:43.939563
