sensor_name,inference_layer,inference_latency,registered_at
ESP32_AABBCC,InferenceLayer.CLOUD,529264,2024-08-30 01:08:25.321863
ESP32_3330A5,InferenceLayer.CLOUD,523373,2024-08-30 01:08:27.325067
ESP32_46B1A6,InferenceLayer.CLOUD,522935,2024-08-30 01:08:28.099925
ESP32_C31F5E,InferenceLayer.CLOUD,541481,2024-08-30 01:08:31.777465
ESP32_6EF35F,InferenceLayer.CLOUD,529785,2024-08-30 01:08:33.711236
ESP32_97CAE1,InferenceLayer.CLOUD,520327,2024-08-30 01:08:34.533062
ESP32_AABBCC,InferenceLayer.CLOUD,582317,2024-08-30 01:09:04.019058
ESP32_3330A5,InferenceLayer.CLOUD,543086,2024-08-30 01:09:05.980959
ESP32_46B1A6,InferenceLayer.CLOUD,484005,2024-08-30 01:09:06.718919
ESP32_97C286,InferenceLayer.CLOUD,475529,2024-08-30 01:09:07.516380
ESP32_1F4D55,InferenceLayer.CLOUD,498008,2024-08-30 01:09:08.326529
ESP32_6EF35F,InferenceLayer.CLOUD,527216,2024-08-30 01:09:12.375940
ESP32_97CAE1,InferenceLayer.CLOUD,522784,2024-08-30 01:09:13.172493
ESP32_AABBCC,InferenceLayer.CLOUD,559069,2024-08-30 01:09:42.624557
ESP32_3330A5,InferenceLayer.CLOUD,524851,2024-08-30 01:09:44.562142
ESP32_B25FE3,InferenceLayer.CLOUD,529465,2024-08-30 01:09:46.605125
ESP32_37E138,InferenceLayer.CLOUD,529888,2024-08-30 01:09:50.869484
ESP32_6EF35F,InferenceLayer.CLOUD,775336,2024-08-30 01:09:51.293941
ESP32_8F7400,InferenceLayer.CLOUD,527329,2024-08-30 01:29:41.937818
ESP32_46B1A6,InferenceLayer.CLOUD,528171,2024-08-30 01:29:43.129530
ESP32_1F4D55,InferenceLayer.CLOUD,490058,2024-08-30 01:29:44.702821
ESP32_37E138,InferenceLayer.CLOUD,525714,2024-08-30 01:29:48.346975
ESP32_97C286,InferenceLayer.CLOUD,522890,2024-08-30 01:30:22.567384
ESP32_AB192B,InferenceLayer.CLOUD,335412,2024-08-30 01:30:24.359716
ESP32_C31F5E,InferenceLayer.CLOUD,490984,2024-08-30 01:30:25.327521
ESP32_E2F3EA,InferenceLayer.CLOUD,483394,2024-08-30 01:30:25.729938
ESP32_615B9D,InferenceLayer.CLOUD,527552,2024-08-30 01:30:26.547050
ESP32_3330A5,InferenceLayer.CLOUD,519005,2024-08-30 01:30:59.600072
ESP32_46B1A6,InferenceLayer.CLOUD,525633,2024-08-30 01:31:00.403143
ESP32_97C286,InferenceLayer.CLOUD,632066,2024-08-30 01:31:01.401183
ESP32_E2F3EA,InferenceLayer.CLOUD,385188,2024-08-30 01:31:04.261634
ESP32_ADD36D,InferenceLayer.CLOUD,489714,2024-08-30 01:31:40.983602
ESP32_8F7400,InferenceLayer.CLOUD,524899,2024-08-30 01:32:16.467954
ESP32_97C286,InferenceLayer.CLOUD,523705,2024-08-30 01:32:18.442798
ESP32_C31F5E,InferenceLayer.CLOUD,568454,2024-08-30 01:32:21.298792
ESP32_615B9D,InferenceLayer.CLOUD,427278,2024-08-30 01:32:22.386949
ESP32_6EF35F,InferenceLayer.CLOUD,427325,2024-08-30 01:32:23.185513
ESP32_B57936,InferenceLayer.CLOUD,476699,2024-08-30 01:32:54.655760
ESP32_97C286,InferenceLayer.CLOUD,535973,2024-08-30 01:32:57.121009
ESP32_F0ACBF,InferenceLayer.CLOUD,520215,2024-08-30 01:32:58.696287
