sensor_name,inference_layer,inference_latency,registered_at
ESP32_AABBCC,InferenceLayer.GATEWAY,106161,2024-08-29 22:01:07.058546
ESP32_09B38F,InferenceLayer.GATEWAY,170514,2024-08-29 22:01:07.536893
ESP32_232714,InferenceLayer.GATEWAY,132280,2024-08-29 22:01:07.881084
ESP32_B57936,InferenceLayer.GATEWAY,137175,2024-08-29 22:01:08.288593
ESP32_8F7400,InferenceLayer.GATEWAY,139331,2024-08-29 22:01:08.689692
ESP32_3330A5,InferenceLayer.GATEWAY,141835,2024-08-29 22:01:09.087216
ESP32_ED5A4D,InferenceLayer.GATEWAY,142786,2024-08-29 22:01:09.499071
ESP32_46B1A6,InferenceLayer.GATEWAY,142442,2024-08-29 22:01:09.896518
ESP32_46978A,InferenceLayer.GATEWAY,142998,2024-08-29 22:01:10.299297
ESP32_97C286,InferenceLayer.GATEWAY,128697,2024-08-29 22:01:10.695164
ESP32_B25FE3,InferenceLayer.GATEWAY,142012,2024-08-29 22:01:11.110906
ESP32_1F4D55,InferenceLayer.GATEWAY,116747,2024-08-29 22:01:11.488260
ESP32_ADD36D,InferenceLayer.GATEWAY,144477,2024-08-29 22:01:11.913441
ESP32_F0ACBF,InferenceLayer.GATEWAY,140385,2024-08-29 22:01:12.322527
ESP32_AB192B,InferenceLayer.GATEWAY,144045,2024-08-29 22:01:12.710997
ESP32_A1BC36,InferenceLayer.GATEWAY,112605,2024-08-29 22:01:13.084727
ESP32_C31F5E,InferenceLayer.GATEWAY,139711,2024-08-29 22:01:13.501316
ESP32_E2F3EA,InferenceLayer.GATEWAY,141090,2024-08-29 22:01:13.905815
ESP32_2E88CE,InferenceLayer.GATEWAY,138337,2024-08-29 22:01:14.309926
ESP32_615B9D,InferenceLayer.GATEWAY,138689,2024-08-29 22:01:14.700036
ESP32_37E138,InferenceLayer.GATEWAY,142132,2024-08-29 22:01:15.117666
ESP32_6EF35F,InferenceLayer.GATEWAY,117301,2024-08-29 22:01:15.482202
ESP32_E9F15A,InferenceLayer.GATEWAY,145225,2024-08-29 22:01:15.914113
ESP32_97CAE1,InferenceLayer.GATEWAY,136375,2024-08-29 22:01:16.301147
ESP32_A73166,InferenceLayer.GATEWAY,142589,2024-08-29 22:01:16.708108
ESP32_AABBCC,InferenceLayer.GATEWAY,219068,2024-08-29 22:01:40.313289
ESP32_09B38F,InferenceLayer.GATEWAY,106293,2024-08-29 22:01:40.613079
ESP32_232714,InferenceLayer.GATEWAY,142321,2024-08-29 22:01:41.046281
ESP32_B57936,InferenceLayer.GATEWAY,139735,2024-08-29 22:01:41.444896
ESP32_8F7400,InferenceLayer.GATEWAY,139866,2024-08-29 22:01:41.849399
ESP32_3330A5,InferenceLayer.GATEWAY,137153,2024-08-29 22:01:42.234909
ESP32_ED5A4D,InferenceLayer.GATEWAY,131437,2024-08-29 22:01:42.645399
ESP32_46B1A6,InferenceLayer.GATEWAY,97415,2024-08-29 22:01:42.994385
ESP32_46978A,InferenceLayer.GATEWAY,139687,2024-08-29 22:01:43.459042
ESP32_97C286,InferenceLayer.GATEWAY,142095,2024-08-29 22:01:43.861649
ESP32_B25FE3,InferenceLayer.GATEWAY,141903,2024-08-29 22:01:44.260852
ESP32_1F4D55,InferenceLayer.GATEWAY,149408,2024-08-29 22:01:44.668351
ESP32_ADD36D,InferenceLayer.GATEWAY,137211,2024-08-29 22:01:45.048494
ESP32_F0ACBF,InferenceLayer.GATEWAY,207517,2024-08-29 22:01:45.602644
ESP32_AB192B,InferenceLayer.GATEWAY,189565,2024-08-29 22:01:46.044593
ESP32_A1BC36,InferenceLayer.GATEWAY,200962,2024-08-29 22:01:46.397728
ESP32_C31F5E,InferenceLayer.GATEWAY,191153,2024-08-29 22:01:46.863027
ESP32_E2F3EA,InferenceLayer.GATEWAY,160456,2024-08-29 22:01:47.115246
ESP32_2E88CE,InferenceLayer.GATEWAY,201591,2024-08-29 22:01:47.603142
ESP32_615B9D,InferenceLayer.GATEWAY,161794,2024-08-29 22:01:47.927355
ESP32_37E138,InferenceLayer.GATEWAY,173946,2024-08-29 22:01:48.324269
ESP32_6EF35F,InferenceLayer.GATEWAY,150663,2024-08-29 22:01:48.709655
ESP32_E9F15A,InferenceLayer.GATEWAY,196872,2024-08-29 22:01:49.195990
ESP32_97CAE1,InferenceLayer.GATEWAY,171189,2024-08-29 22:01:49.620593
ESP32_A73166,InferenceLayer.GATEWAY,159598,2024-08-29 22:01:49.944568
ESP32_AABBCC,InferenceLayer.GATEWAY,151119,2024-08-29 22:02:13.390236
ESP32_09B38F,InferenceLayer.GATEWAY,136929,2024-08-29 22:02:13.788227
ESP32_232714,InferenceLayer.GATEWAY,139001,2024-08-29 22:02:14.189976
ESP32_B57936,InferenceLayer.GATEWAY,138813,2024-08-29 22:02:14.574268
ESP32_8F7400,InferenceLayer.GATEWAY,139648,2024-08-29 22:02:14.979882
ESP32_3330A5,InferenceLayer.GATEWAY,139423,2024-08-29 22:02:15.377232
ESP32_ED5A4D,InferenceLayer.GATEWAY,141590,2024-08-29 22:02:15.794287
ESP32_46B1A6,InferenceLayer.GATEWAY,139436,2024-08-29 22:02:16.177934
ESP32_46978A,InferenceLayer.GATEWAY,123281,2024-08-29 22:02:16.562711
ESP32_97C286,InferenceLayer.GATEWAY,143081,2024-08-29 22:02:16.982248
ESP32_B25FE3,InferenceLayer.GATEWAY,146303,2024-08-29 22:02:17.404769
ESP32_1F4D55,InferenceLayer.GATEWAY,137280,2024-08-29 22:02:17.799055
ESP32_ADD36D,InferenceLayer.GATEWAY,141198,2024-08-29 22:02:18.195343
ESP32_F0ACBF,InferenceLayer.GATEWAY,144082,2024-08-29 22:02:18.589880
ESP32_AB192B,InferenceLayer.GATEWAY,167873,2024-08-29 22:02:19.031862
ESP32_A1BC36,InferenceLayer.GATEWAY,137972,2024-08-29 22:02:19.401959
ESP32_C31F5E,InferenceLayer.GATEWAY,142434,2024-08-29 22:02:19.808755
ESP32_E2F3EA,InferenceLayer.GATEWAY,138289,2024-08-29 22:02:20.186796
ESP32_2E88CE,InferenceLayer.GATEWAY,97559,2024-08-29 22:02:20.557311
ESP32_615B9D,InferenceLayer.GATEWAY,138513,2024-08-29 22:02:20.989304
ESP32_37E138,InferenceLayer.GATEWAY,140668,2024-08-29 22:02:21.380763
ESP32_6EF35F,InferenceLayer.GATEWAY,139031,2024-08-29 22:02:21.801925
ESP32_E9F15A,InferenceLayer.GATEWAY,156476,2024-08-29 22:02:22.202672
ESP32_97CAE1,InferenceLayer.GATEWAY,116598,2024-08-29 22:02:22.571316
ESP32_A73166,InferenceLayer.GATEWAY,144832,2024-08-29 22:02:22.999075
ESP32_AABBCC,InferenceLayer.GATEWAY,173995,2024-08-29 22:02:46.557178
ESP32_09B38F,InferenceLayer.GATEWAY,128011,2024-08-29 22:02:46.925699
ESP32_232714,InferenceLayer.GATEWAY,135929,2024-08-29 22:02:47.312707
ESP32_B57936,InferenceLayer.GATEWAY,141417,2024-08-29 22:02:47.725758
ESP32_8F7400,InferenceLayer.GATEWAY,141521,2024-08-29 22:02:48.126466
ESP32_3330A5,InferenceLayer.GATEWAY,139016,2024-08-29 22:02:48.533818
ESP32_ED5A4D,InferenceLayer.GATEWAY,143999,2024-08-29 22:02:48.927216
ESP32_46B1A6,InferenceLayer.GATEWAY,143015,2024-08-29 22:02:49.346520
ESP32_97C286,InferenceLayer.GATEWAY,145880,2024-08-29 22:02:50.141972
ESP32_1F4D55,InferenceLayer.GATEWAY,141465,2024-08-29 22:02:50.928371
ESP32_6EF35F,InferenceLayer.GATEWAY,186905,2024-08-29 22:02:55.073723
ESP32_AABBCC,InferenceLayer.GATEWAY,218784,2024-08-29 22:03:19.756605
ESP32_B57936,InferenceLayer.GATEWAY,142155,2024-08-29 22:03:20.887518
ESP32_3330A5,InferenceLayer.GATEWAY,123661,2024-08-29 22:03:21.650389
ESP32_ED5A4D,InferenceLayer.GATEWAY,138063,2024-08-29 22:03:22.076900
ESP32_97C286,InferenceLayer.GATEWAY,119224,2024-08-29 22:03:23.254905
ESP32_B25FE3,InferenceLayer.GATEWAY,138365,2024-08-29 22:03:23.677347
ESP32_1F4D55,InferenceLayer.GATEWAY,139869,2024-08-29 22:03:24.080498
ESP32_ADD36D,InferenceLayer.GATEWAY,140698,2024-08-29 22:03:24.473694
ESP32_A1BC36,InferenceLayer.GATEWAY,144078,2024-08-29 22:03:25.686627
ESP32_2E88CE,InferenceLayer.GATEWAY,140920,2024-08-29 22:03:26.893554
ESP32_615B9D,InferenceLayer.GATEWAY,144708,2024-08-29 22:03:27.292502
ESP32_97CAE1,InferenceLayer.GATEWAY,143241,2024-08-29 22:03:28.883072
ESP32_A73166,InferenceLayer.GATEWAY,132792,2024-08-29 22:03:29.290656
ESP32_37E138,InferenceLayer.GATEWAY,136160,2024-08-29 22:28:19.091068
