sensor_name,inference_layer,inference_latency,registered_at
ESP32_09B38F,InferenceLayer.SENSOR,1097,2024-08-26 23:50:05.526235
ESP32_232714,InferenceLayer.SENSOR,3957,2024-08-26 23:50:06.542870
ESP32_B57936,InferenceLayer.SENSOR,1001,2024-08-26 23:50:07.554919
ESP32_8F7400,InferenceLayer.SENSOR,3798,2024-08-26 23:50:08.570618
ESP32_3330A5,InferenceLayer.SENSOR,1321,2024-08-26 23:50:09.636546
ESP32_ED5A4D,InferenceLayer.SENSOR,2940,2024-08-26 23:50:10.577271
ESP32_46B1A6,InferenceLayer.SENSOR,3900,2024-08-26 23:50:11.635830
ESP32_46978A,InferenceLayer.SENSOR,1390,2024-08-26 23:50:12.633900
ESP32_97C286,InferenceLayer.SENSOR,3581,2024-08-26 23:50:13.598878
ESP32_B25FE3,InferenceLayer.SENSOR,4009,2024-08-26 23:50:14.672108
ESP32_1F4D55,InferenceLayer.SENSOR,4350,2024-08-26 23:50:15.631293
ESP32_ADD36D,InferenceLayer.SENSOR,3991,2024-08-26 23:50:16.654969
ESP32_F0ACBF,InferenceLayer.SENSOR,912,2024-08-26 23:50:17.640297
ESP32_AB192B,InferenceLayer.SENSOR,3741,2024-08-26 23:50:18.647638
ESP32_A1BC36,InferenceLayer.SENSOR,2471,2024-08-26 23:50:19.734275
ESP32_C31F5E,InferenceLayer.SENSOR,3727,2024-08-26 23:50:20.669493
ESP32_E2F3EA,InferenceLayer.SENSOR,3142,2024-08-26 23:50:21.712870
ESP32_2E88CE,InferenceLayer.SENSOR,1067,2024-08-26 23:50:22.692634
ESP32_615B9D,InferenceLayer.SENSOR,2338,2024-08-26 23:50:23.724136
ESP32_37E138,InferenceLayer.SENSOR,3052,2024-08-26 23:50:24.761652
ESP32_6EF35F,InferenceLayer.SENSOR,3635,2024-08-26 23:50:25.716846
ESP32_E9F15A,InferenceLayer.SENSOR,1715,2024-08-26 23:50:26.724985
ESP32_97CAE1,InferenceLayer.SENSOR,1159,2024-08-26 23:50:27.766148
ESP32_A73166,InferenceLayer.SENSOR,4014,2024-08-26 23:50:28.763649
ESP32_AABBCC,InferenceLayer.SENSOR,3897,2024-08-26 23:50:31.030661
ESP32_09B38F,InferenceLayer.SENSOR,3939,2024-08-26 23:50:32.019838
ESP32_232714,InferenceLayer.SENSOR,3911,2024-08-26 23:50:32.988876
ESP32_B57936,InferenceLayer.SENSOR,3416,2024-08-26 23:50:34.020588
ESP32_8F7400,InferenceLayer.SENSOR,4120,2024-08-26 23:50:35.020113
ESP32_3330A5,InferenceLayer.SENSOR,3980,2024-08-26 23:50:36.091239
ESP32_ED5A4D,InferenceLayer.SENSOR,2051,2024-08-26 23:50:37.025604
ESP32_46B1A6,InferenceLayer.SENSOR,3650,2024-08-26 23:50:38.081109
ESP32_46978A,InferenceLayer.SENSOR,3743,2024-08-26 23:50:39.076147
ESP32_97C286,InferenceLayer.SENSOR,3971,2024-08-26 23:50:40.064415
ESP32_B25FE3,InferenceLayer.SENSOR,4045,2024-08-26 23:50:41.151846
ESP32_1F4D55,InferenceLayer.SENSOR,3017,2024-08-26 23:50:42.087192
ESP32_ADD36D,InferenceLayer.SENSOR,4083,2024-08-26 23:50:43.105996
ESP32_F0ACBF,InferenceLayer.SENSOR,4301,2024-08-26 23:50:44.098055
ESP32_AB192B,InferenceLayer.SENSOR,3915,2024-08-26 23:50:45.148619
ESP32_A1BC36,InferenceLayer.SENSOR,4029,2024-08-26 23:50:46.212735
ESP32_C31F5E,InferenceLayer.SENSOR,2815,2024-08-26 23:50:47.153038
ESP32_E2F3EA,InferenceLayer.SENSOR,1204,2024-08-26 23:50:48.169277
ESP32_2E88CE,InferenceLayer.SENSOR,3783,2024-08-26 23:50:49.149139
ESP32_615B9D,InferenceLayer.SENSOR,4171,2024-08-26 23:50:50.168894
ESP32_37E138,InferenceLayer.SENSOR,2706,2024-08-26 23:50:51.247509
ESP32_6EF35F,InferenceLayer.SENSOR,2873,2024-08-26 23:50:52.202472
ESP32_E9F15A,InferenceLayer.SENSOR,939,2024-08-26 23:50:53.219264
ESP32_97CAE1,InferenceLayer.SENSOR,3928,2024-08-26 23:50:54.222005
ESP32_A73166,InferenceLayer.SENSOR,3150,2024-08-26 23:50:55.198467
ESP32_AABBCC,InferenceLayer.SENSOR,3937,2024-08-26 23:50:57.534721
ESP32_09B38F,InferenceLayer.SENSOR,3915,2024-08-26 23:50:58.455027
ESP32_232714,InferenceLayer.SENSOR,3949,2024-08-26 23:50:59.484974
ESP32_B57936,InferenceLayer.SENSOR,3940,2024-08-26 23:51:00.488475
ESP32_8F7400,InferenceLayer.SENSOR,3965,2024-08-26 23:51:01.500548
