elapsed_time,direction,sender,receiver,length
0.0,incoming,172.18.0.1,172.18.0.2,66
0.7716391086578369,incoming,172.18.0.1,172.18.0.2,2127
0.7761733531951904,incoming,172.18.0.8,172.18.0.2,66
0.7769064903259277,outgoing,172.18.0.3,172.17.0.1,74
0.7783553600311279,outgoing,172.18.0.3,172.17.0.1,66
0.7790589332580602,outgoing,172.18.0.3,172.17.0.1,290
0.7818453311920202,outgoing,172.18.0.3,172.17.0.1,7306
0.7847118377685511,outgoing,172.18.0.3,172.17.0.1,7306
0.7890052795410192,outgoing,172.18.0.3,172.17.0.1,14546
0.7925260066986084,outgoing,172.18.0.3,172.17.0.1,14546
0.7951903343200684,outgoing,172.18.0.3,172.17.0.1,2962
0.9216811656951904,outgoing,172.18.0.3,172.17.0.1,14250
1.0279276371002197,outgoing,172.18.0.3,172.17.0.1,66
1.0286450386047399,outgoing,172.18.0.3,172.17.0.1,66
1.0300586223602295,outgoing,172.18.0.3,172.17.0.1,66
1.5391771793365479,incoming,172.18.0.1,172.18.0.2,2231
1.5418775081634521,incoming,172.18.0.8,172.18.0.2,66
1.5425961017608643,outgoing,172.18.0.3,172.17.0.1,74
1.5440192222595215,outgoing,172.18.0.3,172.17.0.1,66
1.5447452068328822,outgoing,172.18.0.3,172.17.0.1,290
1.547561883926388,outgoing,172.18.0.3,172.17.0.1,7306
1.5504686832427943,outgoing,172.18.0.3,172.17.0.1,7306
1.5547432899475098,outgoing,172.18.0.3,172.17.0.1,14546
1.5590236186981201,outgoing,172.18.0.3,172.17.0.1,14546
1.5610921382904053,outgoing,172.18.0.3,172.17.0.1,2962
1.6778852939605713,outgoing,172.18.0.3,172.17.0.1,14090
1.7958252429962194,outgoing,172.18.0.3,172.17.0.1,66
1.7973954677581787,outgoing,172.18.0.3,172.17.0.1,66
1.7981526851654053,outgoing,172.18.0.3,172.17.0.1,66
1.799537181854248,outgoing,172.18.0.3,172.17.0.1,66
2.3011608123779297,incoming,172.18.0.1,172.18.0.2,2135
2.305972099304199,incoming,172.18.0.8,172.18.0.2,66
2.56036114692688,outgoing,172.18.0.3,172.17.0.1,74
2.5646097660064697,outgoing,172.18.0.3,172.17.0.1,66
2.5653154850006104,outgoing,172.18.0.3,172.17.0.1,290
2.568184852600101,outgoing,172.18.0.3,172.17.0.1,7306
2.5717151165008545,outgoing,172.18.0.3,172.17.0.1,7306
2.578091859817505,outgoing,172.18.0.3,172.17.0.1,14546
2.5826101303100586,outgoing,172.18.0.3,172.17.0.1,14546
2.584675550460819,outgoing,172.18.0.3,172.17.0.1,2962
2.7061100006103516,outgoing,172.18.0.3,172.17.0.1,14122
2.709028005599979,outgoing,172.18.0.3,172.17.0.1,66
2.7097818851470947,outgoing,172.18.0.3,172.17.0.1,66
2.7111656665802,outgoing,172.18.0.3,172.17.0.1,66
3.33103084564209,incoming,172.18.0.1,172.18.0.2,2147
3.342201709747311,incoming,172.18.0.8,172.18.0.2,66
3.343883275985714,outgoing,172.18.0.3,172.17.0.1,74
3.3464155197143555,outgoing,172.18.0.3,172.17.0.1,66
3.3474137783050573,outgoing,172.18.0.3,172.17.0.1,290
3.3504207134246826,outgoing,172.18.0.3,172.17.0.1,7306
3.353225946426388,outgoing,172.18.0.3,172.17.0.1,7306
3.3559179306030273,outgoing,172.18.0.3,172.17.0.1,10202
3.358861207962036,outgoing,172.18.0.3,172.17.0.1,4410
3.3638362884521484,outgoing,172.18.0.3,172.17.0.1,17442
3.485532760620117,outgoing,172.18.0.3,172.17.0.1,14424
3.5886619091033936,outgoing,172.18.0.3,172.17.0.1,66
3.592443943023685,outgoing,172.18.0.3,172.17.0.1,66
3.5980663299560547,outgoing,172.18.0.3,172.17.0.1,66
4.611009359359741,incoming,172.18.0.1,172.18.0.2,2139
4.622552156448364,incoming,172.18.0.8,172.18.0.2,66
4.624313831329349,outgoing,172.18.0.3,172.17.0.1,74
4.62696385383606,outgoing,172.18.0.3,172.17.0.1,66
4.62799501419067,outgoing,172.18.0.3,172.17.0.1,290
4.631099462509152,outgoing,172.18.0.3,172.17.0.1,7306
4.633910179138184,outgoing,172.18.0.3,172.17.0.1,7306
4.638468265533447,outgoing,172.18.0.3,172.17.0.1,14546
4.6427516937255895,outgoing,172.18.0.3,172.17.0.1,14546
4.644790887832645,outgoing,172.18.0.3,172.17.0.1,2962
4.76488733291626,outgoing,172.18.0.3,172.17.0.1,14409
4.8682930469512975,outgoing,172.18.0.3,172.17.0.1,66
4.869004011154175,outgoing,172.18.0.3,172.17.0.1,66
4.8704118728637695,outgoing,172.18.0.3,172.17.0.1,66
5.891313076019287,incoming,172.18.0.1,172.18.0.2,2327
5.8948283195495605,incoming,172.18.0.8,172.18.0.2,66
5.8955194950103795,outgoing,172.18.0.3,172.17.0.1,74
5.8969409465789795,outgoing,172.18.0.3,172.17.0.1,66
5.897656679153442,outgoing,172.18.0.3,172.17.0.1,290
5.900483131408691,outgoing,172.18.0.3,172.17.0.1,7306
5.903284311294556,outgoing,172.18.0.3,172.17.0.1,7306
5.9075868129730225,outgoing,172.18.0.3,172.17.0.1,14546
5.9119110107421875,outgoing,172.18.0.3,172.17.0.1,14546
5.9139485359191895,outgoing,172.18.0.3,172.17.0.1,2962
6.032800912857059,outgoing,172.18.0.3,172.17.0.1,13709
6.14757513999939,outgoing,172.18.0.3,172.17.0.1,66
6.148297548294067,outgoing,172.18.0.3,172.17.0.1,66
6.149677991867069,outgoing,172.18.0.3,172.17.0.1,66
6.909011602401737,incoming,172.18.0.1,172.18.0.2,2219
6.91287994384766,incoming,172.18.0.8,172.18.0.2,66
7.167956829071045,outgoing,172.18.0.3,172.17.0.1,74
7.172819375991821,outgoing,172.18.0.3,172.17.0.1,66
7.173527717590332,outgoing,172.18.0.3,172.17.0.1,290
7.1764936447143555,outgoing,172.18.0.3,172.17.0.1,7306
7.179370164871219,outgoing,172.18.0.3,172.17.0.1,7306
7.183680772781372,outgoing,172.18.0.3,172.17.0.1,14546
7.187938690185547,outgoing,172.18.0.3,172.17.0.1,14546
7.190001010894779,outgoing,172.18.0.3,172.17.0.1,2962
7.3101043701171875,outgoing,172.18.0.3,172.17.0.1,14295
7.427268743515015,outgoing,172.18.0.3,172.17.0.1,66
7.428018569946289,outgoing,172.18.0.3,172.17.0.1,66
7.429504871368408,outgoing,172.18.0.3,172.17.0.1,66
8.19444370269775,incoming,172.18.0.1,172.18.0.2,2339
8.197354078292847,incoming,172.18.0.8,172.18.0.2,66
8.198039293289185,outgoing,172.18.0.3,172.17.0.1,74
8.199517488479614,outgoing,172.18.0.3,172.17.0.1,66
8.20023250579834,outgoing,172.18.0.3,172.17.0.1,290
8.203078746795654,outgoing,172.18.0.3,172.17.0.1,7306
8.20593523979187,outgoing,172.18.0.3,172.17.0.1,7306
8.2102632522583,outgoing,172.18.0.3,172.17.0.1,14546
8.21455454826355,outgoing,172.18.0.3,172.17.0.1,14546
8.216651678085327,outgoing,172.18.0.3,172.17.0.1,2962
8.337054967880249,outgoing,172.18.0.3,172.17.0.1,13705
8.45057201385498,outgoing,172.18.0.3,172.17.0.1,66
8.451293468475338,outgoing,172.18.0.3,172.17.0.1,66
8.452681064605713,outgoing,172.18.0.3,172.17.0.1,66
9.213735818862911,incoming,172.18.0.1,172.18.0.2,2143
9.21713137626648,incoming,172.18.0.8,172.18.0.2,66
9.471970558166504,outgoing,172.18.0.3,172.17.0.1,74
9.475928544998169,outgoing,172.18.0.3,172.17.0.1,66
9.476648330688477,outgoing,172.18.0.3,172.17.0.1,290
9.4796462059021,outgoing,172.18.0.3,172.17.0.1,7306
9.482478141784668,outgoing,172.18.0.3,172.17.0.1,7306
9.486810207366943,outgoing,172.18.0.3,172.17.0.1,14546
9.491129398345947,outgoing,172.18.0.3,172.17.0.1,14546
9.493157863616943,outgoing,172.18.0.3,172.17.0.1,2962
9.614444017410278,outgoing,172.18.0.3,172.17.0.1,14498
9.73131370544434,outgoing,172.18.0.3,172.17.0.1,66
9.732032537460327,outgoing,172.18.0.3,172.17.0.1,66
9.733428955078125,outgoing,172.18.0.3,172.17.0.1,66
10.499571561813354,incoming,172.18.0.1,172.18.0.2,2325
10.503688335418701,incoming,172.18.0.8,172.18.0.2,66
10.505088329315186,incoming,172.18.0.1,172.18.0.2,66
10.505897521972663,outgoing,172.18.0.3,172.17.0.1,74
10.50729250907898,outgoing,172.18.0.3,172.17.0.1,66
10.5080406665802,outgoing,172.18.0.3,172.17.0.1,290
10.510810136795044,outgoing,172.18.0.3,172.17.0.1,7306
10.513599872589111,outgoing,172.18.0.3,172.17.0.1,7306
10.517919540405273,outgoing,172.18.0.3,172.17.0.1,14546
10.522336721420288,outgoing,172.18.0.3,172.17.0.1,14546
10.524390697479248,outgoing,172.18.0.3,172.17.0.1,2962
10.645548105239868,outgoing,172.18.0.3,172.17.0.1,14111
10.75520396232605,outgoing,172.18.0.3,172.17.0.1,66
10.755903005599983,outgoing,172.18.0.3,172.17.0.1,66
10.757332563400269,outgoing,172.18.0.3,172.17.0.1,66
11.267330408096313,incoming,172.18.0.1,172.18.0.2,2323
11.270187616348267,incoming,172.18.0.8,172.18.0.2,66
11.270879030227661,outgoing,172.18.0.3,172.17.0.1,74
11.272334814071655,outgoing,172.18.0.3,172.17.0.1,66
11.273074388504028,outgoing,172.18.0.3,172.17.0.1,290
11.275888442993164,outgoing,172.18.0.3,172.17.0.1,7306
11.278726577758789,outgoing,172.18.0.3,172.17.0.1,7306
11.282131433486938,outgoing,172.18.0.3,172.17.0.1,10202
11.284371614456177,outgoing,172.18.0.3,172.17.0.1,4410
11.288702249526978,outgoing,172.18.0.3,172.17.0.1,14546
11.290811777114868,outgoing,172.18.0.3,172.17.0.1,2962
11.406659603118896,outgoing,172.18.0.3,172.17.0.1,13985
11.522600889205933,outgoing,172.18.0.3,172.17.0.1,66
11.52331018447876,outgoing,172.18.0.3,172.17.0.1,66
11.52473521232605,outgoing,172.18.0.3,172.17.0.1,66
12.547045707702637,incoming,172.18.0.1,172.18.0.2,2155
12.549835920333862,incoming,172.18.0.8,172.18.0.2,66
12.55054497718811,outgoing,172.18.0.3,172.17.0.1,74
12.552019596099854,outgoing,172.18.0.3,172.17.0.1,66
12.552852630615234,outgoing,172.18.0.3,172.17.0.1,290
12.55567717552185,outgoing,172.18.0.3,172.17.0.1,7306
12.558520317077637,outgoing,172.18.0.3,172.17.0.1,7306
12.56269884109497,outgoing,172.18.0.3,172.17.0.1,14546
12.566902875900269,outgoing,172.18.0.3,172.17.0.1,14546
12.56885027885437,outgoing,172.18.0.3,172.17.0.1,2962
12.683647632598877,outgoing,172.18.0.3,172.17.0.1,14570
12.802619934082031,outgoing,172.18.0.3,172.17.0.1,66
12.80471158027649,outgoing,172.18.0.3,172.17.0.1,66
12.807461023330688,outgoing,172.18.0.3,172.17.0.1,66
13.054442167282104,incoming,172.18.0.1,172.18.0.2,2339
13.058547019958503,incoming,172.18.0.8,172.18.0.2,66
13.312229871749878,outgoing,172.18.0.3,172.17.0.1,74
13.315753698348999,outgoing,172.18.0.3,172.17.0.1,66
13.316456317901611,outgoing,172.18.0.3,172.17.0.1,290
13.319291353225708,outgoing,172.18.0.3,172.17.0.1,7306
13.322108268737793,outgoing,172.18.0.3,172.17.0.1,7306
13.326421022415161,outgoing,172.18.0.3,172.17.0.1,14546
13.330690383911133,outgoing,172.18.0.3,172.17.0.1,14546
13.333182334899902,outgoing,172.18.0.3,172.17.0.1,2962
13.446199893951423,outgoing,172.18.0.3,172.17.0.1,13934
13.565289497375488,outgoing,172.18.0.3,172.17.0.1,66
13.566042423248291,outgoing,172.18.0.3,172.17.0.1,66
13.567476272583008,outgoing,172.18.0.3,172.17.0.1,66
13.830315828323364,incoming,172.18.0.1,172.18.0.2,2111
13.834523916244507,incoming,172.18.0.8,172.18.0.2,66
13.838244199752808,outgoing,172.18.0.3,172.17.0.1,74
13.846198081970215,outgoing,172.18.0.3,172.17.0.1,66
13.850069522857666,outgoing,172.18.0.3,172.17.0.1,290
13.856032371520996,outgoing,172.18.0.3,172.17.0.1,7306
13.858946084976196,outgoing,172.18.0.3,172.17.0.1,7306
13.863471269607544,outgoing,172.18.0.3,172.17.0.1,14546
13.867856740951538,outgoing,172.18.0.3,172.17.0.1,14546
13.869847774505615,outgoing,172.18.0.3,172.17.0.1,2962
13.989914178848267,outgoing,172.18.0.3,172.17.0.1,14135
14.082963943481445,outgoing,172.18.0.3,172.17.0.1,66
14.08367133140564,outgoing,172.18.0.3,172.17.0.1,66
14.085166931152344,outgoing,172.18.0.3,172.17.0.1,66
14.85157823562622,incoming,172.18.0.1,172.18.0.2,2331
14.86322808265686,incoming,172.18.0.8,172.18.0.2,66
14.864893674850457,outgoing,172.18.0.3,172.17.0.1,74
14.867439985275269,outgoing,172.18.0.3,172.17.0.1,66
14.86844539642334,outgoing,172.18.0.3,172.17.0.1,290
14.871530294418342,outgoing,172.18.0.3,172.17.0.1,7306
14.874322652816772,outgoing,172.18.0.3,172.17.0.1,7306
14.87860107421875,outgoing,172.18.0.3,172.17.0.1,14546
14.882904291152954,outgoing,172.18.0.3,172.17.0.1,14546
14.884961128234863,outgoing,172.18.0.3,172.17.0.1,2962
15.003804683685303,outgoing,172.18.0.3,172.17.0.1,13956
15.1073637008667,outgoing,172.18.0.3,172.17.0.1,66
15.108073949813843,outgoing,172.18.0.3,172.17.0.1,66
15.109485864639282,outgoing,172.18.0.3,172.17.0.1,66
