elapsed_time,sender,receiver,length
0.0,172.19.0.3,172.19.0.8,71
0.004176378250125623,172.19.0.8,172.19.0.3,279
0.0077824592590349795,172.19.0.3,172.19.0.8,66
0.5127060413360613,172.19.0.8,172.19.0.3,818
0.5143187046051043,172.19.0.3,172.19.0.8,70
0.5150816440582293,172.19.0.8,172.19.0.3,66
0.5160450935363787,172.19.0.3,172.19.0.8,846
0.5167562961578387,172.19.0.8,172.19.0.3,66
0.7677872180938721,172.19.0.7,172.19.0.4,68
0.7723705768585223,172.19.0.4,172.19.0.7,68
0.7761325836181641,172.19.0.7,172.19.0.4,66
1.0,172.19.0.3,172.19.0.8,71
1.0041763782501256,172.19.0.8,172.19.0.3,279
1.007782459259035,172.19.0.3,172.19.0.8,66
1.5127060413360613,172.19.0.8,172.19.0.3,818
1.5143187046051043,172.19.0.3,172.19.0.8,70
1.5150816440582293,172.19.0.8,172.19.0.3,66
1.5160450935363787,172.19.0.3,172.19.0.8,846
1.5167562961578387,172.19.0.8,172.19.0.3,66
1.767787218093872,172.19.0.7,172.19.0.4,68
1.7723705768585223,172.19.0.4,172.19.0.7,68
1.776132583618164,172.19.0.7,172.19.0.4,66
2.0,172.19.0.3,172.19.0.8,71
2.0041763782501256,172.19.0.8,172.19.0.3,279
2.007782459259035,172.19.0.3,172.19.0.8,66
2.5127060413360613,172.19.0.8,172.19.0.3,818
2.5143187046051043,172.19.0.3,172.19.0.8,70
2.5150816440582293,172.19.0.8,172.19.0.3,66
2.5160450935363787,172.19.0.3,172.19.0.8,846
2.5167562961578387,172.19.0.8,172.19.0.3,66
2.767787218093872,172.19.0.7,172.19.0.4,68
2.7723705768585223,172.19.0.4,172.19.0.7,68
2.776132583618164,172.19.0.7,172.19.0.4,66
3.023900985717775,172.19.0.3,172.19.0.8,71
3.027747869491579,172.19.0.8,172.19.0.3,279
3.028518199920656,172.19.0.3,172.19.0.8,66
4.047539710998537,172.19.0.3,172.19.0.8,71
4.051647424697876,172.19.0.8,172.19.0.3,279
4.052410364151003,172.19.0.3,172.19.0.8,66
4.560602426528932,172.19.0.8,172.19.0.3,818
4.564752578735353,172.19.0.3,172.19.0.8,70
4.568372488021852,172.19.0.8,172.19.0.3,66
4.571941375732424,172.19.0.3,172.19.0.8,846
4.5740044116973895,172.19.0.8,172.19.0.3,66
4.812011480331423,172.19.0.3,172.19.0.8,71
4.812859058380129,172.19.0.8,172.19.0.3,279
4.813591957092287,172.19.0.3,172.19.0.8,66
5.839744329452516,172.19.0.3,172.19.0.8,71
5.843924045562744,172.19.0.8,172.19.0.3,279
5.847527027130129,172.19.0.3,172.19.0.8,66
6.604518413543703,172.19.0.8,172.19.0.3,818
6.60546875,172.19.0.3,172.19.0.8,70
6.606247901916504,172.19.0.8,172.19.0.3,66
6.607182025909426,172.19.0.3,172.19.0.8,846
6.607957124710085,172.19.0.8,172.19.0.3,66
6.863572597503666,172.19.0.3,172.19.0.8,71
6.8665719032287615,172.19.0.8,172.19.0.3,279
6.867358922958378,172.19.0.3,172.19.0.8,66
7.887541532516481,172.19.0.3,172.19.0.8,71
7.890814065933229,172.19.0.8,172.19.0.3,279
7.891574859619142,172.19.0.3,172.19.0.8,66
8.656426668167116,172.19.0.8,172.19.0.3,818
8.659162282943727,172.19.0.3,172.19.0.8,70
8.659912824630739,172.19.0.8,172.19.0.3,66
8.664427280426027,172.19.0.3,172.19.0.8,846
8.667264461517336,172.19.0.8,172.19.0.3,66
8.911456108093265,172.19.0.3,172.19.0.8,71
8.914048433303835,172.19.0.8,172.19.0.3,279
8.914780616760256,172.19.0.3,172.19.0.8,66
9.935838937759401,172.19.0.3,172.19.0.8,71
9.939280033111574,172.19.0.8,172.19.0.3,279
9.94000554084778,172.19.0.3,172.19.0.8,66
10.448489189147947,172.19.0.8,172.19.0.3,814
10.451069116592413,172.19.0.3,172.19.0.8,70
10.45179080963135,172.19.0.8,172.19.0.3,66
10.452713727951052,172.19.0.3,172.19.0.8,842
10.453412532806398,172.19.0.8,172.19.0.3,66
10.95982718467713,172.19.0.3,172.19.0.8,71
10.962925672531131,172.19.0.8,172.19.0.3,279
10.963670015335085,172.19.0.3,172.19.0.8,66
11.983890533447264,172.19.0.3,172.19.0.8,71
11.988088369369509,172.19.0.8,172.19.0.3,279
11.991796016693115,172.19.0.3,172.19.0.8,66
12.4973201751709,172.19.0.8,172.19.0.3,814
12.498553514480593,172.19.0.3,172.19.0.8,70
12.499406337738035,172.19.0.8,172.19.0.3,66
12.504249334335332,172.19.0.3,172.19.0.8,842
12.507707357406618,172.19.0.8,172.19.0.3,66
13.00791358947754,172.19.0.3,172.19.0.8,71
13.012415170669556,172.19.0.8,172.19.0.3,279
13.015946149826052,172.19.0.3,172.19.0.8,66
14.03220415115357,172.19.0.3,172.19.0.8,71
14.036063194274904,172.19.0.8,172.19.0.3,279
14.03681087493897,172.19.0.3,172.19.0.8,66
14.540755510330202,172.19.0.8,172.19.0.3,818
14.542128086090091,172.19.0.3,172.19.0.8,70
14.54299449920654,172.19.0.8,172.19.0.3,66
14.543937921524051,172.19.0.3,172.19.0.8,846
14.54468750953674,172.19.0.8,172.19.0.3,66
14.79744338989258,172.19.0.1,172.19.0.4,3349
14.798805475234984,172.19.0.4,172.19.0.1,66
14.800771951675417,172.19.0.4,172.19.0.7,3349
14.801491737365724,172.19.0.7,172.19.0.4,66
14.802215099334717,172.19.0.7,172.19.0.9,74
14.803044557571411,172.19.0.9,172.19.0.7,74
14.803771972656252,172.19.0.7,172.19.0.9,66
14.804517507553102,172.19.0.7,172.19.0.9,282
14.805188417434694,172.19.0.9,172.19.0.7,66
14.812112569808962,172.19.0.7,172.19.0.9,3439
14.812915563583376,172.19.0.9,172.19.0.7,66
15.056515216827394,172.19.0.9,172.19.0.2,74
15.060658216476442,172.19.0.2,172.19.0.9,74
15.06374788284302,172.19.0.9,172.19.0.2,66
15.066315650939943,172.19.0.9,172.19.0.2,224
15.068102121353151,172.19.0.2,172.19.0.9,66
15.075081586837774,172.19.0.2,172.19.0.9,2009
15.075911521911625,172.19.0.9,172.19.0.2,66
15.076667547225954,172.19.0.9,172.19.0.2,66
15.077415466308596,172.19.0.2,172.19.0.9,66
15.078156232833864,172.19.0.9,172.19.0.2,66
15.078901767730718,172.19.0.9,172.17.0.1,74
15.07965230941773,172.17.0.1,172.19.0.9,74
15.080408811569216,172.19.0.9,172.17.0.1,66
15.081166028976442,172.19.0.9,172.17.0.1,289
15.081845283508304,172.17.0.1,172.19.0.9,66
15.088751316070558,172.19.0.9,172.17.0.1,3439
15.089523553848268,172.17.0.1,172.19.0.9,66
15.090250492095947,172.19.0.3,172.19.0.8,71
15.091019392013552,172.19.0.8,172.19.0.3,279
15.091764450073244,172.19.0.3,172.19.0.8,66
15.310028076171877,172.19.0.1,172.19.0.9,74
15.310840129852297,172.19.0.9,172.19.0.1,74
15.311599254608156,172.19.0.1,172.19.0.9,66
15.312386751174932,172.19.0.1,172.19.0.9,306
15.313081264495851,172.19.0.9,172.19.0.1,66
15.314629316329958,172.19.0.1,172.19.0.9,347
15.315387964248664,172.19.0.9,172.19.0.1,66
15.31619811058045,172.19.0.9,172.19.0.2,74
15.316982269287111,172.19.0.2,172.19.0.9,74
15.317667722702025,172.19.0.9,172.19.0.2,66
15.318575859069826,172.19.0.9,172.19.0.2,224
15.319287538528444,172.19.0.2,172.19.0.9,66
15.323228120803838,172.19.0.2,172.19.0.9,2009
15.324036121368414,172.19.0.9,172.19.0.2,66
15.324799537658691,172.19.0.9,172.19.0.2,66
15.325535774230955,172.19.0.2,172.19.0.9,66
15.326317787170412,172.19.0.9,172.19.0.2,66
15.327048778533936,172.19.0.9,172.19.0.7,74
15.327852725982664,172.19.0.7,172.19.0.9,74
15.328593254089355,172.19.0.9,172.19.0.7,66
15.329394817352297,172.19.0.9,172.19.0.7,310
15.33008909225464,172.19.0.7,172.19.0.9,66
15.331560373306276,172.19.0.9,172.19.0.7,318
15.332282304763796,172.19.0.7,172.19.0.9,66
15.333278417587282,172.19.0.7,172.19.0.9,320
15.334072113037111,172.19.0.9,172.19.0.7,66
15.334902524948122,172.19.0.7,172.19.0.4,264
15.335734605789186,172.19.0.4,172.19.0.1,264
15.336515426635744,172.19.0.1,172.19.0.4,66
15.33729386329651,172.19.0.4,172.19.0.7,70
15.337968826293944,172.19.0.7,172.19.0.4,66
15.338718652725222,172.19.0.9,172.19.0.7,66
15.33950829505921,172.19.0.7,172.19.0.9,66
15.34020876884461,172.19.0.9,172.19.0.7,66
